episode,reward,avg_loss,avg_qmax,epsilon
0,-740.6394,2.1259,0.0000,0.9950
1,0.3997,0.0000,0.0000,0.9900
2,42.7123,3.7806,0.0000,0.9851
3,-4.9487,0.0000,0.0000,0.9801
4,-291.7971,51.9867,0.0000,0.9752
5,-2.2491,0.0000,0.0000,0.9704
6,-897.4942,4.4880,0.0000,0.9655
7,-5.1655,0.0000,0.0000,0.9607
8,279.6403,16.8179,0.0780,0.9559
9,0.0000,0.0000,0.0000,0.9511
10,-520.3290,153.9959,0.0136,0.9464
11,0.2747,0.0000,0.0000,0.9416
12,-1331.7606,9.9026,0.0110,0.9369
13,-10.5162,0.0000,0.0000,0.9322
14,-877.0795,42.1256,0.0261,0.9276
15,0.0000,0.0000,0.0000,0.9229
16,-531.6462,18.8104,0.1693,0.9183
17,-10.6881,0.0000,0.0000,0.9137
18,-411.6332,43.1227,0.1917,0.9092
19,-12.2487,0.0000,0.0000,0.9046
20,3.0037,11.0433,0.0346,0.9001
21,-4.2182,0.0000,0.0000,0.8956
22,-964.5115,14.8158,0.0824,0.8911
23,-0.1011,0.0000,0.0352,0.8867
24,-989.2902,20.4064,0.0279,0.8822
25,-13.0700,0.0000,0.0000,0.8778
26,200.9997,2004.1380,0.0182,0.8734
27,-9.2767,0.0000,0.0000,0.8691
28,-634.2228,14.8233,0.0046,0.8647
29,-7.5190,0.0000,0.0000,0.8604
30,-257.3839,15.7603,0.0441,0.8561
31,-7.4508,0.0000,0.0000,0.8518
32,107.9457,16.5709,0.1134,0.8475
33,-8.4882,0.0000,0.0000,0.8433
34,-1147.2916,13.6701,0.0090,0.8391
35,-7.3100,0.0000,0.0000,0.8349
36,-1448.1329,3650.9828,0.0256,0.8307
37,0.0000,0.0000,0.0000,0.8266
38,-1302.9584,1594.4536,0.0421,0.8224
39,-4.6190,0.0000,0.0000,0.8183
40,-1154.1114,239.8448,0.0263,0.8142
41,1.7635,0.0000,0.0000,0.8102
42,70.2721,59.3298,0.1023,0.8061
43,-18.3190,0.0000,0.0000,0.8021
44,-648.3569,28.2621,0.0541,0.7981
45,-12.6393,0.0000,0.0000,0.7941
46,215.5459,389.5978,0.0000,0.7901
47,-9.0302,0.0000,0.0000,0.7862
48,-676.5781,38.7887,0.0160,0.7822
49,0.0000,0.0000,0.0000,0.7783
50,-1037.4055,40.4827,0.0197,0.7744
51,0.0000,0.0000,0.0000,0.7705
52,-641.1405,521.7345,0.0090,0.7667
53,-8.3904,0.0000,0.0000,0.7629
54,-972.0443,29.7889,0.0103,0.7590
55,1.0434,0.0000,0.0000,0.7553
56,-728.7581,31.0146,0.0100,0.7515
57,-1.0608,0.0000,0.0000,0.7477
58,313.4487,35.3112,0.0664,0.7440
59,-11.8010,0.0000,0.0000,0.7403
60,-1396.1917,1007.6757,0.0111,0.7366
61,-15.1537,0.0000,0.0000,0.7329
62,265.2018,30.7409,0.1299,0.7292
63,-6.1130,0.0000,0.0000,0.7256
