2025-06-07 22:02:17,478 Initialized agent with reward_scale=10.0, norm_alpha=0.01
2025-06-07 22:02:19,453 step=0, reward=0.0000, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:19,505 step=0, reward=0.0000, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:19,553 step=0, reward=-0.0344, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:19,594 step=0, reward=0.0308, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:19,637 step=0, reward=0.0231, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:19,678 step=0, reward=-0.0180, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:19,730 step=0, reward=-0.2285, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:19,778 step=0, reward=-0.4949, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:19,828 step=0, reward=-0.5574, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:19,874 step=0, reward=-0.7874, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:19,921 step=0, reward=-0.6545, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:19,967 step=0, reward=-0.6361, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:20,008 step=0, reward=-0.8421, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:20,048 step=0, reward=-0.6651, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:20,105 step=0, reward=-0.9776, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:20,147 step=0, reward=-0.7993, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:20,267 step=0, reward=-0.2115, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:21,743 step=0, reward=10.7849, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:21,781 step=0, reward=0.0223, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:21,822 step=0, reward=0.0812, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:21,870 step=0, reward=0.0512, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:21,913 step=0, reward=0.0453, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:21,961 step=0, reward=-0.1541, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:22,003 step=0, reward=-0.3145, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:22,063 step=0, reward=-0.4197, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:22,107 step=0, reward=-0.5349, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:22,148 step=0, reward=-0.3917, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:22,196 step=0, reward=-0.8233, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:22,241 step=0, reward=-0.6646, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:22,286 step=0, reward=-0.8302, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:22,339 step=0, reward=-0.3857, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:22,383 step=0, reward=-0.5586, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:22,432 step=0, reward=-0.9006, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:22,472 step=0, reward=-0.4072, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:22,584 step=0, reward=-0.3646, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:24,064 step=0, reward=7.3601, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:24,110 step=0, reward=0.0759, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:24,157 step=0, reward=0.0025, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:24,205 step=0, reward=-0.0913, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:24,253 step=0, reward=-0.3329, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:24,299 step=0, reward=-0.3471, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:24,344 step=0, reward=-0.5035, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:24,386 step=0, reward=-0.2440, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:24,437 step=0, reward=-0.9305, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:24,487 step=0, reward=-1.1285, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:24,530 step=0, reward=-0.7660, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:24,576 step=0, reward=0.3775, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:24,622 step=0, reward=-1.4180, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:24,672 step=0, reward=-1.4441, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:24,782 step=0, reward=0.0785, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:26,265 step=0, reward=-4.3852, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:26,312 step=0, reward=0.3274, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:26,360 step=0, reward=1.1084, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:26,403 step=0, reward=0.2974, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:26,450 step=0, reward=1.2961, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:26,500 step=0, reward=0.6879, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:26,549 step=0, reward=0.1889, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:26,593 step=0, reward=-0.5834, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:26,643 step=0, reward=-0.9038, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:26,690 step=0, reward=-0.5258, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:26,733 step=0, reward=-0.8876, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:26,778 step=0, reward=-1.1819, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:26,824 step=0, reward=-0.5212, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:26,872 step=0, reward=-1.2535, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:26,920 step=0, reward=-1.2876, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:26,959 step=0, reward=-0.3108, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:27,066 step=0, reward=0.0000, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:28,566 step=0, reward=-6.9595, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:28,624 step=0, reward=0.0516, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:28,671 step=0, reward=0.1660, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:28,718 step=0, reward=0.1349, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:28,767 step=0, reward=0.1706, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:28,811 step=0, reward=0.2600, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:28,866 step=0, reward=0.0000, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:28,908 step=0, reward=-0.1019, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:28,952 step=0, reward=-0.2811, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:28,990 step=0, reward=-0.3980, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:29,036 step=0, reward=-0.2954, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:29,080 step=0, reward=-0.2459, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:29,127 step=0, reward=-0.6769, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:29,185 step=0, reward=-0.9780, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:29,230 step=0, reward=-0.2118, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:29,277 step=0, reward=-0.9425, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:29,384 step=0, reward=-0.0104, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:30,916 step=0, reward=-10.0714, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:30,964 step=0, reward=0.0185, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:31,015 step=0, reward=0.3901, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:31,065 step=0, reward=0.7115, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:31,113 step=0, reward=0.6165, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:31,162 step=0, reward=0.6054, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:31,222 step=0, reward=0.7131, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:31,271 step=0, reward=0.4427, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:31,328 step=0, reward=0.5979, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:31,379 step=0, reward=0.6523, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:31,434 step=0, reward=0.3426, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:31,486 step=0, reward=0.7742, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:31,527 step=0, reward=0.5371, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:31,583 step=0, reward=0.2494, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:31,630 step=0, reward=-0.6709, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:31,683 step=0, reward=-0.3646, epsilon=1.0000, reward_scale=10.0
