episode,avg_reward,avg_loss,avg_qmax,epsilon
149,-0.2846,0.0000,nan,0.4715
150,-0.2034,nan,nan,0.4691
151,-0.0536,0.0000,nan,0.4668
152,0.0232,0.0000,nan,0.4644
153,-1.2721,0.0000,nan,0.4621
154,0.0277,0.0000,nan,0.4598
155,-0.4181,0.0000,nan,0.4575
156,-1.0722,0.0000,nan,0.4552
157,-0.4175,0.0000,0.0000,0.4529
158,-0.4678,nan,nan,0.4507
159,-0.2150,0.0000,0.0000,0.4484
160,-0.6893,0.0000,nan,0.4462
161,0.0228,0.0000,nan,0.4440
162,-0.0014,0.0000,nan,0.4417
163,-0.3174,0.0000,nan,0.4395
164,0.3200,0.0000,nan,0.4373
165,-0.0481,0.0000,0.0000,0.4351
166,-0.6624,nan,nan,0.4330
167,2.5888,0.0000,0.0000,0.4308
168,-0.7874,0.0000,nan,0.4286
169,-0.2455,0.0000,0.0000,0.4265
170,-1.7847,0.0000,nan,0.4244
171,2.4126,0.0000,0.0000,0.4223
172,-0.8398,0.0000,nan,0.4201
173,-0.4609,0.0000,0.0000,0.4180
174,-0.1986,0.0000,nan,0.4159
175,2.1961,0.0000,nan,0.4139
176,-0.4998,nan,nan,0.4118
177,-0.0769,0.0000,0.0000,0.4097
178,-1.1540,0.0000,nan,0.4077
179,1.2239,0.0000,nan,0.4057
180,-0.7393,0.0000,nan,0.4036
181,-0.3783,0.0000,nan,0.4016
182,-1.1745,0.0000,nan,0.3996
183,-0.7147,0.0000,0.0000,0.3976
184,-1.3627,nan,nan,0.3956
185,0.5023,0.0000,nan,0.3936
186,-0.9268,0.0000,nan,0.3917
187,1.5756,0.0000,nan,0.3897
188,-1.2416,0.0000,nan,0.3878
189,0.0000,0.0000,0.0000,0.3858
190,-0.5810,0.0000,nan,0.3839
191,0.0886,0.0000,nan,0.3820
192,-0.5217,nan,nan,0.3801
193,0.0000,0.0000,nan,0.3782
194,-0.6428,0.0000,nan,0.3763
195,-1.4433,0.0000,nan,0.3744
196,-1.2057,0.0000,nan,0.3725
197,-0.3150,0.0000,0.0000,0.3707
198,0.1746,0.0000,nan,0.3688
199,-0.4844,0.0000,nan,0.3670
200,-1.0996,nan,nan,0.3651
201,-0.5745,0.0000,nan,0.3633
202,-0.8143,0.0000,nan,0.3615
203,0.0000,0.0000,0.0000,0.3597
204,-1.6424,0.0000,nan,0.3579
205,-0.8376,0.0000,nan,0.3561
206,0.2971,0.0000,nan,0.3543
207,0.0000,0.0000,nan,0.3525
208,-0.4017,nan,nan,0.3508
209,4.0879,0.0000,0.0000,0.3490
210,-0.4893,0.0000,nan,0.3473
211,-0.1630,0.0000,nan,0.3455
212,0.2857,0.0000,nan,0.3438
213,-0.2518,0.0000,0.0000,0.3421
214,-0.2310,0.0000,nan,0.3404
215,-0.3216,0.0000,nan,0.3387
216,0.5068,nan,nan,0.3370
217,-0.8761,0.0000,0.0000,0.3353
218,-0.2710,0.0000,nan,0.3336
219,-0.3321,0.0000,nan,0.3320
220,-0.3747,0.0000,nan,0.3303
221,-0.4757,0.0000,nan,0.3286
222,-0.6090,0.0000,nan,0.3270
223,-0.2414,0.0000,nan,0.3254
224,0.0457,nan,nan,0.3237
225,-0.6414,0.0000,nan,0.3221
226,-0.1475,0.0000,nan,0.3205
227,-1.2561,0.0000,nan,0.3189
228,0.0205,0.0000,nan,0.3173
229,0.0000,0.0000,nan,0.3157
230,-0.8424,0.0000,nan,0.3141
231,0.0000,0.0000,nan,0.3126
232,-0.0529,nan,nan,0.3110
233,-1.9462,0.0000,nan,0.3095
234,-0.8398,0.0000,nan,0.3079
235,0.0000,0.0000,0.0000,0.3064
236,-1.4789,0.0000,nan,0.3048
237,-0.5342,0.0000,nan,0.3033
238,-0.7002,0.0000,nan,0.3018
239,-0.0594,0.0000,nan,0.3003
240,-0.4844,0.0000,nan,0.2988
241,-0.3942,nan,0.0000,0.2973
242,-0.1326,0.0000,nan,0.2958
243,-0.2059,0.0000,nan,0.2943
244,-0.9833,0.0000,nan,0.2929
245,-0.5078,0.0000,nan,0.2914
246,0.3559,0.0000,nan,0.2899
247,-0.4780,0.0000,nan,0.2885
248,-0.6547,0.0000,nan,0.2870
249,0.2046,0.0000,nan,0.2856
250,-0.2163,nan,nan,0.2842
251,-0.2175,0.0000,nan,0.2828
252,0.1488,0.0000,nan,0.2813
253,0.0000,0.0000,nan,0.2799
254,0.4043,0.0000,nan,0.2785
255,-0.6944,0.0000,0.0000,0.2771
256,0.1096,nan,nan,0.2758
257,-0.4139,0.0000,0.0000,0.2744
258,-0.6129,0.0000,nan,0.2730
259,-0.1670,0.0000,nan,0.2716
260,0.0712,0.0000,nan,0.2703
261,-0.4856,0.0000,0.0000,0.2689
262,0.1998,0.0000,nan,0.2676
263,-0.4362,0.0000,nan,0.2663
264,-0.6096,nan,nan,0.2649
265,-0.6308,0.0000,0.0000,0.2636
266,0.0473,0.0000,nan,0.2623
267,-0.4334,0.0000,nan,0.2610
268,-1.1409,0.0000,nan,0.2597
269,1.6177,0.0000,nan,0.2584
270,0.1423,nan,nan,0.2571
271,-0.4072,0.0000,nan,0.2558
272,-0.4950,0.0000,nan,0.2545
273,1.5828,0.0000,0.0000,0.2532
274,-1.3933,0.0000,nan,0.2520
275,-0.3377,0.0000,0.0000,0.2507
276,-0.7117,nan,nan,0.2495
277,-0.2781,0.0000,nan,0.2482
278,-0.7996,0.0000,nan,0.2470
279,-0.5242,0.0000,nan,0.2457
280,-0.3033,0.0000,nan,0.2445
281,1.6455,0.0000,0.0000,0.2433
282,-0.5210,0.0000,nan,0.2421
283,-0.4344,0.0000,nan,0.2409
284,-0.2655,nan,nan,0.2397
285,-0.9234,0.0000,nan,0.2385
286,0.0132,0.0000,nan,0.2373
287,-0.1882,0.0000,nan,0.2361
288,0.2319,0.0000,nan,0.2349
289,-2.4792,0.0000,nan,0.2337
290,-1.0732,nan,nan,0.2326
291,-0.3180,0.0000,nan,0.2314
292,-0.8445,0.0000,nan,0.2302
293,-0.5421,0.0000,nan,0.2291
294,-0.5201,0.0000,nan,0.2279
295,0.1357,0.0000,0.0000,0.2268
296,-0.7572,0.0000,nan,0.2257
297,2.3998,0.0000,nan,0.2245
298,-0.0406,nan,nan,0.2234
299,-0.4421,0.0000,nan,0.2223
300,-0.9678,0.0000,nan,0.2212
301,-0.9829,0.0000,nan,0.2201
302,0.0641,0.0000,nan,0.2190
303,-0.5638,0.0000,nan,0.2179
304,-0.2466,nan,nan,0.2168
305,0.0000,0.0000,0.0000,0.2157
306,-0.5116,0.0000,nan,0.2146
307,-0.8764,0.0000,nan,0.2136
308,0.1105,0.0000,nan,0.2125
309,-0.3556,0.0000,nan,0.2114
310,-0.0414,nan,nan,0.2104
311,-0.4169,0.0000,nan,0.2093
312,-0.2495,0.0000,nan,0.2083
313,-0.8552,0.0000,nan,0.2072
314,-0.0794,0.0000,nan,0.2062
315,-0.1462,0.0000,nan,0.2052
316,-0.5522,nan,nan,0.2041
317,0.5155,0.0000,nan,0.2031
318,0.0295,0.0000,nan,0.2021
319,-0.5631,0.0000,nan,0.2011
320,-0.8939,0.0000,nan,0.2001
321,0.0000,0.0000,nan,0.1991
322,-1.1961,0.0000,nan,0.1981
323,-0.6270,0.0000,0.0000,0.1971
324,0.1737,nan,nan,0.1961
325,-0.3514,0.0000,nan,0.1951
326,-0.6083,0.0000,nan,0.1942
327,-0.5653,0.0000,nan,0.1932
328,0.0128,0.0000,nan,0.1922
329,0.6037,0.0000,nan,0.1913
330,0.0155,nan,nan,0.1903
331,-0.1821,0.0000,nan,0.1893
332,-0.3789,0.0000,nan,0.1884
333,-0.2461,0.0000,nan,0.1875
334,-0.5048,0.0000,nan,0.1865
335,3.0047,0.0000,0.0000,0.1856
336,-0.2404,nan,nan,0.1847
337,0.0000,0.0000,nan,0.1837
338,-1.0151,0.0000,nan,0.1828
339,2.4679,0.0000,nan,0.1819
340,-0.4769,0.0000,nan,0.1810
341,0.0000,0.0000,nan,0.1801
342,-0.7968,0.0000,nan,0.1792
343,-0.2753,0.0000,nan,0.1783
344,-0.6213,0.0000,nan,0.1774
345,-0.0767,0.0000,0.0000,0.1765
346,0.4648,nan,nan,0.1756
347,0.0000,0.0000,nan,0.1748
348,-0.7497,0.0000,nan,0.1739
349,-0.1659,0.0000,nan,0.1730
350,-1.2403,0.0000,nan,0.1721
351,-0.4359,0.0000,nan,0.1713
352,-0.0022,nan,nan,0.1704
353,-0.5756,0.0000,0.0000,0.1696
354,-0.5156,0.0000,nan,0.1687
355,-0.3798,0.0000,nan,0.1679
356,-0.8727,0.0000,nan,0.1670
357,0.0000,0.0000,nan,0.1662
358,-0.6424,0.0000,nan,0.1654
359,0.0000,0.0000,nan,0.1646
360,-1.2016,nan,nan,0.1637
361,-0.1281,0.0000,nan,0.1629
362,-0.4717,0.0000,nan,0.1621
363,-0.2261,0.0000,0.0000,0.1613
364,-0.4529,0.0000,nan,0.1605
365,-0.5113,0.0000,nan,0.1597
366,0.1192,nan,nan,0.1589
367,0.0982,0.0000,nan,0.1581
368,-0.1584,0.0000,nan,0.1573
369,-0.4120,0.0000,0.0000,0.1565
370,-0.2495,0.0000,nan,0.1557
371,-0.5109,0.0000,nan,0.1549
372,-0.4775,nan,nan,0.1542
373,-0.6550,0.0000,nan,0.1534
374,-0.0598,0.0000,nan,0.1526
375,-0.3682,0.0000,nan,0.1519
376,-0.5798,0.0000,nan,0.1511
377,-0.0675,0.0000,nan,0.1504
378,-0.3247,0.0000,nan,0.1496
379,0.0000,0.0000,nan,0.1489
380,-0.0785,nan,nan,0.1481
381,-0.3807,0.0000,0.0000,0.1474
382,0.0115,0.0000,nan,0.1466
383,-0.0649,0.0000,nan,0.1459
384,-1.6430,nan,nan,0.1452
385,-1.1581,0.0000,nan,0.1444
386,0.2115,0.0000,nan,0.1437
387,-0.2823,0.0000,nan,0.1430
388,-0.2968,0.0000,nan,0.1423
389,0.0000,0.0000,0.0000,0.1416
390,-0.0691,0.0000,nan,0.1409
391,-0.0089,0.0000,nan,0.1402
392,-0.2519,nan,nan,0.1395
393,-0.9200,0.0000,nan,0.1388
394,0.2275,0.0000,nan,0.1381
395,-0.5899,0.0000,nan,0.1374
396,0.0513,0.0000,nan,0.1367
397,0.0000,0.0000,0.0000,0.1360
398,-0.5460,nan,nan,0.1353
399,-0.1655,0.0000,nan,0.1347
400,-0.0280,0.0000,nan,0.1340
401,-0.2944,0.0000,nan,0.1333
402,-0.3599,0.0000,nan,0.1326
