0,-864.6711,3491.0591,-0.0167,0.9755
1,0.2371,0.0000,0.0000,0.9754
2,-486.6603,2305.0249,-0.0182,0.9453
3,-0.0329,0.0000,0.0000,0.9452
4,-221.5758,1342.9099,-0.1554,0.9180
5,-0.6035,0.0000,0.0000,0.9179
6,-702.6739,2350.1493,-0.0707,0.8911
7,-0.0781,0.0000,-0.0693,0.8910
8,-461.1533,2345.8396,-0.2089,0.8648
9,0.0000,0.0000,0.0000,0.8647
10,-692.6219,2768.1277,-0.0127,0.8386
11,-0.0012,0.0000,0.0000,0.8385
12,-391.5776,201.1019,-0.0263,0.8126
13,-0.8636,0.0000,0.0327,0.8125
14,-461.8480,1176.6076,0.0206,0.7884
15,0.2152,0.0000,0.0000,0.7883
16,-36.9808,3262.6024,0.0108,0.7656
17,-0.0488,0.0000,0.0000,0.7655
18,-498.9020,68.9322,-0.1991,0.7417
19,0.0000,0.0000,0.0000,0.7416
20,-111.6055,280.7955,-0.0286,0.7188
21,0.0205,0.0000,0.0000,0.7188
22,-51.7387,2893.8646,-0.1115,0.6968
23,-0.7030,0.0000,-0.0973,0.6968
24,-177.7339,347.1037,0.0418,0.6755
25,0.3112,0.0000,0.0000,0.6754
26,85.4945,637.8214,-0.0272,0.6532
27,0.4555,0.0000,-0.0364,0.6531
28,-348.2102,70.1653,-0.2459,0.6340
29,-0.0177,0.0000,0.0000,0.6339
30,-65.0927,909.6605,-0.2741,0.6145
31,0.0000,0.0000,-0.3175,0.6144
32,-502.6796,826.0065,-0.3723,0.5949
33,-0.1349,0.0000,-0.5590,0.5949
34,-34.8881,88.7479,-0.4348,0.5766
35,0.8165,0.0000,-0.6473,0.5765
36,-421.9427,0.2919,-0.3335,0.5608
37,0.0000,0.0000,-0.4771,0.5607
38,-357.9504,800.4132,-0.2753,0.5441
39,-0.0247,0.0000,0.0000,0.5441
40,-707.9706,1914.6922,-0.5043,0.5271
41,0.0000,0.0000,-0.7172,0.5270
42,-658.0453,1184.6476,-0.6138,0.5123
43,-0.7283,0.0000,-0.9257,0.5122
44,-210.5528,2553.6203,-0.7556,0.4993
45,0.0000,0.0000,0.0000,0.4992
46,-481.8296,1656.0438,-0.4008,0.4743
47,0.0000,0.0000,0.0000,0.4742
48,575.7341,11.1147,-0.6584,0.4599
49,0.4401,0.0000,0.0000,0.4599
50,-424.8142,281.5745,-0.8612,0.4481
51,-5.0903,0.0000,0.0000,0.4481
52,-260.8478,584.9222,-0.5797,0.4356
53,-0.0331,0.0000,-0.9586,0.4356
54,-677.6443,3223.1097,-0.8035,0.4221
55,0.0237,0.0000,-1.1811,0.4221
56,-423.9786,4261.5685,-0.0738,0.4067
57,-0.8393,0.0000,-0.5156,0.4067
58,-204.3599,0.9636,-0.7588,0.3974
59,-5.0135,0.0000,-1.7715,0.3974
60,-916.9053,5905.2760,-0.2039,0.3851
61,-0.0116,0.0000,0.0000,0.3851
62,-286.5753,4660.1353,-1.0264,0.3727
63,0.0064,0.0000,-1.6249,0.3727
64,-316.0018,52.0349,-0.3052,0.3600
65,-0.0386,0.0000,-0.3932,0.3600
66,-744.2985,2814.1497,-1.6639,0.3502
67,-1.2248,0.0000,-2.7830,0.3502
68,-17.3907,0.2133,-1.7851,0.3408
69,-0.2921,0.0000,-2.9067,0.3408
70,-228.0055,128.6287,-1.2385,0.3251
71,-5.1034,0.0000,-4.0581,0.3250
72,-210.3917,152.5881,-1.8827,0.3155
73,-0.0437,0.0000,-2.9327,0.3155
74,-892.6141,2784.3992,-1.5305,0.3084
75,-3.1869,0.0000,0.0000,0.3083
76,263.1249,4.5973,-2.0463,0.3002
77,-0.9462,0.0000,0.0000,0.3002
78,-165.6668,200.0095,-1.9933,0.2930
79,-6.9131,0.0000,-3.7969,0.2930
80,-1039.6901,128.5331,1.6377,0.2840
81,0.0000,0.0000,0.0000,0.2840
82,-916.9410,4759.8591,-2.4033,0.2772
83,-0.7041,0.0000,-4.5280,0.2772
84,-616.2248,53.3818,1.5751,0.2650
85,0.1221,0.0000,0.8474,0.2650
86,-213.7330,1.9849,2.1347,0.2578
87,0.0000,0.0000,0.0000,0.2578
88,-749.1812,2.3778,-3.5009,0.2502
89,-0.0287,0.0000,-5.4743,0.2501
90,-117.9757,275.1478,-2.7882,0.2426
91,-0.0952,0.0000,0.0000,0.2426
92,-598.1892,2877.7041,2.3130,0.2358
93,0.0000,0.0000,4.5444,0.2358
94,-742.0887,63.1427,-3.4026,0.2291
95,-0.0767,0.0000,-5.1910,0.2291
96,-743.6228,1469.1432,1.5178,0.2223
97,0.0000,0.0000,0.0000,0.2223
98,-689.3922,4804.6536,-3.3781,0.2155
99,-0.3815,0.0000,-5.5646,0.2155
100,-221.7186,2408.4232,-4.1281,0.2097
101,-0.6771,0.0000,-6.7716,0.2096
102,-6.0287,1.0612,-4.2385,0.2040
103,-1.0886,0.0000,-6.8062,0.2040
104,-999.9831,5800.2491,0.2354,0.1986
105,-4.5813,0.0000,0.0000,0.1986
106,-247.3085,3.5924,0.4243,0.1933
107,-29.4967,0.0000,0.0000,0.1933
108,-661.9376,2963.1535,-4.4548,0.1873
109,0.4503,0.0000,-6.4082,0.1873
110,-535.1101,2.6677,-0.3340,0.1827
111,0.0000,0.0000,-0.1296,0.1827
112,-1068.6058,5137.3374,-6.7760,0.1774
113,-0.1002,0.0000,-9.9085,0.1773
114,-621.6535,1.1646,-1.1019,0.1713
115,0.0000,0.0000,0.7408,0.1713
116,-437.6712,4711.9973,-4.2051,0.1666
117,-0.1128,0.0000,0.0000,0.1665
118,17.2380,41.2873,-3.5798,0.1522
119,-1.4302,0.0000,-6.1237,0.1522
120,-706.7786,125.5525,-5.6171,0.1467
121,0.7801,0.0000,-8.0237,0.1467
122,-486.2390,1167.5782,-3.4700,0.1429
123,-3.6348,0.0000,-6.0846,0.1429
124,-11.7233,1.6517,-4.2034,0.1393
125,-2.4629,0.0000,-7.0188,0.1393
126,-50.8628,1.3734,-3.2619,0.1357
127,-1.7345,0.0000,0.0000,0.1356
128,-381.1781,1.4937,-6.9601,0.1318
129,-0.9502,0.0000,-10.2217,0.1318
130,-489.1687,1.7230,-3.2182,0.1275
131,0.0000,2.1792,-3.4108,0.1274
132,90.4883,675.3716,-2.1994,0.1229
133,1.3401,0.0000,-2.2360,0.1229
134,87.5888,240.9353,-1.3758,0.1182
135,0.7838,0.0000,-1.9794,0.1182
136,13.9902,43.3461,-4.2586,0.1083
137,-1.6363,0.0000,-10.5000,0.1083
138,485.0860,62.3497,-4.2974,0.1050
139,0.0354,0.0000,-5.0013,0.1050
140,107.9269,189.2061,-2.3794,0.0978
141,-2.5404,0.0000,-10.0353,0.0978
142,-668.9852,3.5829,-5.9109,0.0952
