step,episode,reward,epsilon,state_mean,state_std,max_q
1,0,-0.4382,1.0000,-0.039457,-0.085899,0.275454,-0.056961,-0.131170,-0.070659,0.189284,0.208803,0.401986,0.079267,0.217665,0.433557,0.579261,0.076159,-0.0080
2,0,-0.4723,1.0000,-0.039985,-0.083981,0.275535,-0.056997,-0.129903,-0.068286,0.189350,0.207823,0.400430,0.078874,0.216574,0.431570,0.576846,0.075780,-0.0168
3,0,-0.9003,1.0000,-0.040617,-0.081999,0.276434,-0.057188,-0.127577,-0.059999,0.190350,0.206878,0.398916,0.078992,0.215497,0.430036,0.579906,0.076061,0.0600
4,0,-0.0084,1.0000,-0.041366,-0.079870,0.277194,-0.057378,-0.125263,-0.067279,0.191126,0.205977,0.397487,0.078963,0.214425,0.428506,0.581574,0.076076,0.0098
5,0,-0.5466,1.0000,-0.042239,-0.077549,0.276391,-0.057702,-0.122371,-0.076443,0.190476,0.205131,0.396175,0.078976,0.213375,0.427337,0.585870,0.075973,-0.0414
6,0,-1.1113,1.0000,-0.043280,-0.074864,0.275419,-0.058330,-0.118345,-0.075548,0.189738,0.204368,0.395102,0.079180,0.212399,0.427098,0.583002,0.075953,-0.0648
7,0,-1.2298,1.0000,-0.044538,-0.071623,0.275805,-0.059284,-0.113097,-0.065073,0.190384,0.203733,0.394455,0.078877,0.211549,0.428185,0.589462,0.075848,-0.0093
8,0,-0.7736,1.0000,-0.046048,-0.067695,0.277733,-0.060428,-0.107117,-0.054794,0.192624,0.203273,0.394439,0.080817,0.210799,0.430214,0.595448,0.078721,0.1080
9,0,0.0000,1.0000,-0.047821,-0.063031,0.279802,-0.061561,-0.101198,-0.060313,0.193508,0.203029,0.395223,0.083030,0.210048,0.432131,0.595028,0.078824,-0.0016
10,0,-1.6189,1.0000,-0.049869,-0.057558,0.280693,-0.063003,-0.093679,-0.056576,0.194828,0.203047,0.397032,0.083093,0.209493,0.436490,0.593224,0.079532,-0.0068
11,0,0.0000,1.0000,-0.052226,-0.051099,0.280695,-0.064431,-0.086235,-0.068572,0.194584,0.203399,0.400288,0.082676,0.208931,0.440635,0.602317,0.079171,0.0004
12,0,-1.3281,1.0000,-0.054910,-0.043575,0.279205,-0.066172,-0.077555,-0.067211,0.193733,0.204152,0.405326,0.083600,0.208611,0.446936,0.599452,0.079233,-0.1041
13,0,-0.7003,1.0000,-0.057965,-0.034817,0.277713,-0.068087,-0.068282,-0.067030,0.192943,0.205414,0.412694,0.084509,0.208447,0.454261,0.596450,0.079231,-0.0946
14,1,0.0000,0.9950,-0.056795,-0.033292,0.278946,-0.068641,-0.066881,-0.065930,0.194057,0.204719,0.410908,0.084986,0.207476,0.452202,0.593563,0.079618,0.0300
15,1,-0.0252,0.9950,-0.055833,-0.031666,0.281569,-0.069177,-0.065471,-0.055193,0.196539,0.203920,0.409172,0.088534,0.206506,0.450156,0.600269,0.083013,0.1352
16,1,0.0000,0.9950,-0.055076,-0.029937,0.284397,-0.069708,-0.064075,-0.060259,0.199009,0.203039,0.407488,0.092519,0.205539,0.448117,0.599404,0.086213,0.0784
17,1,-0.0226,0.9950,-0.054517,-0.028105,0.286284,-0.070106,-0.062671,-0.064655,0.200284,0.202099,0.405859,0.093968,0.204548,0.446091,0.598018,0.086723,0.0207
18,1,0.0129,0.9950,-0.054117,-0.026168,0.286609,-0.070116,-0.061261,-0.073839,0.199909,0.201125,0.404289,0.093554,0.203522,0.444079,0.602067,0.086369,0.0055
19,1,-0.0630,0.9950,-0.053759,-0.024114,0.285854,-0.069254,-0.059712,-0.077425,0.198438,0.200149,0.402787,0.093390,0.202685,0.442125,0.600121,0.087187,-0.0355
20,1,-0.2744,0.9950,-0.053279,-0.021902,0.285365,-0.067369,-0.057875,-0.072547,0.197252,0.199204,0.401377,0.093051,0.202549,0.440292,0.599102,0.087556,0.0120
21,1,-0.1580,0.9950,-0.052579,-0.019506,0.284990,-0.065041,-0.055932,-0.071731,0.196252,0.198329,0.400084,0.092660,0.202874,0.438516,0.596154,0.087689,0.0118
22,1,-0.2769,0.9950,-0.051571,-0.016901,0.284594,-0.062143,-0.053846,-0.071175,0.195263,0.197592,0.398929,0.092281,0.203926,0.436816,0.593192,0.087809,0.0249
23,1,-0.3595,0.9950,-0.050160,-0.014063,0.284177,-0.058675,-0.051602,-0.070644,0.194282,0.197107,0.397943,0.091913,0.205847,0.435205,0.590243,0.087917,0.0423
24,1,-0.4399,0.9950,-0.048251,-0.010964,0.283724,-0.054588,-0.049204,-0.070211,0.193227,0.197046,0.397159,0.091564,0.208852,0.433687,0.587300,0.088111,0.0604
25,1,-0.7641,0.9950,-0.045719,-0.007570,0.283708,-0.049601,-0.046517,-0.064382,0.192696,0.197687,0.396624,0.091106,0.213705,0.432350,0.587257,0.087830,0.0903
26,1,0.0000,0.9950,-0.042501,-0.003858,0.283131,-0.044664,-0.043856,-0.074306,0.191289,0.199310,0.396377,0.090832,0.218290,0.431004,0.592682,0.088516,0.0918
27,1,-1.2332,0.9950,-0.038478,0.000200,0.282143,-0.038333,-0.040859,-0.070051,0.189796,0.202352,0.396473,0.090916,0.226235,0.429890,0.591244,0.089328,0.1208
28,1,-0.9944,0.9950,-0.033450,0.004649,0.282202,-0.030911,-0.037661,-0.060602,0.189413,0.207521,0.396986,0.090462,0.237024,0.428929,0.595820,0.088963,0.1766
29,1,-1.1442,0.9950,-0.027236,0.009520,0.283655,-0.022275,-0.034249,-0.051025,0.190503,0.215628,0.397988,0.091172,0.251150,0.428140,0.600520,0.089186,0.2171
30,1,0.0000,0.9950,-0.019752,0.014828,0.285146,-0.013725,-0.030872,-0.057240,0.190659,0.227226,0.399535,0.091933,0.264112,0.427331,0.600733,0.088753,0.2202
31,2,0.0000,0.9900,-0.019781,0.017263,0.286304,-0.013905,-0.029165,-0.056241,0.191804,0.226087,0.398277,0.092202,0.262794,0.425531,0.597805,0.089047,0.0004
32,2,0.0000,0.9900,-0.019861,0.019897,0.286136,-0.014083,-0.027475,-0.070947,0.191370,0.224955,0.397155,0.091755,0.261483,0.423735,0.612721,0.088707,-0.0236
33,2,-0.0549,0.9900,-0.019976,0.022736,0.285499,-0.014126,-0.025733,-0.070173,0.190649,0.223831,0.396183,0.091517,0.260172,0.421971,0.609698,0.088556,-0.0340
34,2,0.0202,0.9900,-0.020118,0.025781,0.285065,-0.014178,-0.024030,-0.068348,0.190238,0.222713,0.395371,0.091162,0.258869,0.420201,0.606917,0.088208,-0.0392
35,2,0.0893,0.9900,-0.020294,0.029019,0.284643,-0.014283,-0.022439,-0.067642,0.189786,0.221604,0.394720,0.090803,0.257573,0.418398,0.603916,0.087882,-0.0300
36,2,0.2499,0.9900,-0.020520,0.032422,0.284561,-0.014576,-0.021137,-0.063227,0.189845,0.220504,0.394213,0.090352,0.256299,0.416504,0.602508,0.087443,-0.0533
37,2,0.2442,0.9900,-0.020825,0.035946,0.284491,-0.015077,-0.020123,-0.062540,0.189901,0.219420,0.393816,0.089901,0.255063,0.414540,0.599528,0.087007,-0.0440
38,2,0.5292,0.9900,-0.021287,0.039496,0.285794,-0.016090,-0.019745,-0.051902,0.191347,0.218369,0.393447,0.090395,0.253987,0.412480,0.605934,0.087771,0.0593
39,2,0.0000,0.9900,-0.021930,0.043038,0.287305,-0.017094,-0.019370,-0.057066,0.191940,0.217370,0.393075,0.091202,0.252913,0.410429,0.605105,0.087532,0.0243
40,2,0.4525,0.9900,-0.022780,0.046552,0.287228,-0.018923,-0.019694,-0.055432,0.192169,0.216447,0.392679,0.090748,0.252309,0.408385,0.602293,0.087123,-0.0376
41,2,0.1472,0.9900,-0.023958,0.049932,0.287005,-0.021027,-0.020279,-0.054978,0.192235,0.215684,0.392170,0.090320,0.251925,0.406380,0.599291,0.086689,-0.0331
42,2,0.3737,0.9900,-0.025551,0.053088,0.287385,-0.023771,-0.021608,-0.048334,0.192861,0.215194,0.391479,0.089948,0.252160,0.404561,0.599977,0.086481,0.0066
43,2,0.0928,0.9900,-0.027615,0.055956,0.287717,-0.026744,-0.023211,-0.049338,0.193568,0.215107,0.390571,0.089558,0.252651,0.402852,0.597054,0.086338,0.0194
44,2,-0.0060,0.9900,-0.030221,0.058455,0.287891,-0.030264,-0.025333,-0.049582,0.194254,0.215610,0.389416,0.089126,0.253836,0.401394,0.594066,0.086178,0.0380
45,2,-0.4173,0.9900,-0.033492,0.060493,0.288561,-0.034738,-0.028076,-0.043448,0.195794,0.217009,0.388000,0.088933,0.256496,0.400323,0.594262,0.087118,0.0676
46,2,0.0000,0.9900,-0.037495,0.062032,0.288746,-0.039167,-0.030792,-0.053071,0.195857,0.219599,0.386361,0.088506,0.259025,0.399241,0.599064,0.086684,0.0605
47,2,-0.9428,0.9900,-0.042308,0.063022,0.287651,-0.044773,-0.034237,-0.052946,0.195733,0.223737,0.384552,0.088740,0.263755,0.398731,0.596062,0.086258,0.0595
48,2,-0.6859,0.9900,-0.048101,0.063362,0.286524,-0.051086,-0.038080,-0.052906,0.195611,0.230031,0.382640,0.089012,0.269917,0.398589,0.593074,0.085835,0.0818
49,2,-0.7271,0.9900,-0.054984,0.062992,0.285313,-0.058077,-0.042301,-0.053026,0.195489,0.239002,0.380740,0.089390,0.277516,0.398831,0.590103,0.085413,0.1013
50,2,-0.7639,0.9900,-0.063069,0.061846,0.284158,-0.065736,-0.046963,-0.052571,0.195378,0.251173,0.379005,0.089689,0.286548,0.399561,0.587163,0.084992,0.1238
51,2,-1.0228,0.9900,-0.072470,0.059836,0.282888,-0.074247,-0.052317,-0.052949,0.195394,0.267010,0.377640,0.090138,0.297546,0.401148,0.584232,0.084566,0.1538
52,3,0.0000,0.9851,-0.071682,0.058725,0.284070,-0.072227,-0.052434,-0.051990,0.196489,0.265788,0.375911,0.090462,0.296743,0.399139,0.581382,0.084851,0.0935
53,3,-0.2747,0.9851,-0.070660,0.057522,0.285601,-0.069623,-0.052556,-0.047301,0.197099,0.264653,0.374220,0.091301,0.296401,0.397140,0.580365,0.084646,0.1215
54,3,0.0018,0.9851,-0.069348,0.056228,0.286416,-0.067048,-0.052677,-0.058268,0.197045,0.263653,0.372569,0.091208,0.296037,0.395151,0.587778,0.084224,0.0893
55,3,-0.7325,0.9851,-0.067659,0.054843,0.285600,-0.063557,-0.052807,-0.067908,0.195392,0.262874,0.370961,0.091116,0.296615,0.393173,0.592723,0.085417,0.0179
56,3,-1.5625,0.9851,-0.065348,0.053364,0.285097,-0.058315,-0.052958,-0.062133,0.194034,0.262576,0.369397,0.090799,0.299747,0.391205,0.592572,0.086067,0.1303
57,3,-0.5136,0.9851,-0.062288,0.051792,0.284673,-0.052563,-0.053100,-0.061855,0.192942,0.263046,0.367882,0.090443,0.303741,0.389246,0.589608,0.086328,0.1106
58,3,-0.8118,0.9851,-0.058357,0.050129,0.284167,-0.046006,-0.053230,-0.061777,0.191790,0.264663,0.366416,0.090132,0.309251,0.387297,0.586653,0.086666,0.1268
59,3,-1.1703,0.9851,-0.053393,0.048377,0.283545,-0.038296,-0.053354,-0.061794,0.190648,0.267973,0.364999,0.089896,0.317213,0.385358,0.583713,0.086983,0.1552
60,3,-0.4790,0.9851,-0.047300,0.046537,0.282878,-0.030173,-0.053492,-0.061605,0.189578,0.273505,0.363636,0.089694,0.325907,0.383429,0.580790,0.087207,0.1590
61,3,-0.8427,0.9851,-0.039952,0.044608,0.282172,-0.021267,-0.053611,-0.061584,0.188513,0.281877,0.362327,0.089523,0.336282,0.381509,0.577879,0.087420,0.1745
