episode,reward,avg_loss,avg_qmax,epsilon
0,-1249.3675,21.8706,0.0000,0.9950
1,-24.3548,0.0000,0.0000,0.9900
2,-943.1729,2048.9524,0.0437,0.9851
3,-5.5709,0.0000,0.0000,0.9801
4,-124.8623,2284.8199,0.0158,0.9752
5,-6.4631,0.0000,0.0000,0.9704
6,-700.8641,4.6417,0.0338,0.9655
7,-8.3968,0.0000,0.0000,0.9607
8,507.4896,994.7789,-0.1163,0.9559
9,-1.7239,0.0000,0.0000,0.9511
10,-964.6285,212.8652,-0.3117,0.9464
11,-3.9243,0.0000,0.0000,0.9416
12,197.4488,6829.9136,-0.1051,0.9369
13,-10.5175,0.0000,0.0000,0.9322
14,50.8614,2496.9474,-0.1975,0.9276
15,-0.1078,0.0000,0.0000,0.9229
16,292.1633,522.8479,-0.1169,0.9183
17,-4.9430,0.0000,-0.2207,0.9137
18,-434.1896,8.6414,-0.1912,0.9092
19,-8.3019,0.0000,0.0000,0.9046
20,-445.5426,818.1230,-0.3332,0.9001
21,-7.0688,0.0000,0.0000,0.8956
22,-487.0290,798.7930,-0.1541,0.8911
23,-4.9040,0.0000,0.0000,0.8867
24,275.1147,665.8793,-0.1585,0.8822
25,-1.8236,0.0000,0.0000,0.8778
26,-17.5782,180.9405,-0.1820,0.8734
27,-5.3364,0.0000,0.0000,0.8691
28,-530.4353,5.1537,-0.2836,0.8647
29,-10.3572,0.0000,0.0000,0.8604
30,62.9225,569.3784,-0.2580,0.8561
31,-0.4847,0.0000,0.0000,0.8518
32,-46.5863,463.0129,-0.5683,0.8475
33,-5.3507,0.0000,0.0000,0.8433
34,-466.0230,577.2716,-0.3492,0.8391
35,0.4086,6.4692,-0.4540,0.8349
36,-529.5390,2050.4052,-0.5949,0.8307
37,-7.4273,0.0000,0.0000,0.8266
38,-929.4822,7.6798,-0.3193,0.8224
39,-1.2330,0.0000,-0.4104,0.8183
40,78.5574,876.9554,-0.6972,0.8142
41,-4.6296,0.0000,0.0000,0.8102
42,-671.4766,3686.8820,-0.9577,0.8061
